
DECIMAL       HEXADECIMAL     DESCRIPTION
1141521       0x116B11        Zlib compressed data, best compression
1141987       0x116CE3        Zlib compressed data, best compression
1148437       0x118615        Zlib compressed data, best compression
1154363       0x119D3B        Zlib compressed data, best compression
1161680       0x11B9D0        Zlib compressed data, best compression
1164719       0x11C5AF        Zlib compressed data, best compression
1166175       0x11CB5F        Zlib compressed data, best compression
1167508       0x11D094        Zlib compressed data, best compression
1174158       0x11EA8E        Zlib compressed data, best compression
1175359       0x11EF3F        Zlib compressed data, best compression
1176159       0x11F25F        Zlib compressed data, best compression
1177022       0x11F5BE        Zlib compressed data, best compression
1193945       0x1237D9        Zlib compressed data, best compression
1194114       0x123882        Zlib compressed data, best compression
1195242       0x123CEA        Zlib compressed data, best compression
1200009       0x124F89        Zlib compressed data, best compression
1203946       0x125EEA        Zlib compressed data, best compression
1205746       0x1265F2        Zlib compressed data, best compression
1209919       0x12763F        Zlib compressed data, best compression
2708258       0x295322        Zlib compressed data, best compression
2708860       0x29557C        Zlib compressed data, best compression
3026455       0x2E2E17        Zlib compressed data, best compression
3182177       0x308E61        Zlib compressed data, best compression
3249012       0x319374        Zlib compressed data, best compression
4381754       0x42DC3A        Zlib compressed data, best compression
4387182       0x42F16E        Zlib compressed data, best compression
4644488       0x46DE88        Zlib compressed data, best compression
5156720       0x4EAF70        Zlib compressed data, best compression
5330641       0x5156D1        Zlib compressed data, best compression
5365473       0x51DEE1        Zlib compressed data, best compression
5809236       0x58A454        Zlib compressed data, best compression
7484444       0x72341C        Zlib compressed data, best compression
7505758       0x72875E        Zlib compressed data, best compression
7553098       0x73404A        Zlib compressed data, best compression
7598012       0x73EFBC        Zlib compressed data, best compression
8624100       0x8397E4        Zlib compressed data, best compression
12231778      0xBAA462        Zlib compressed data, best compression

